Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Zürn, Gerhard; Lompe, Thomas; Wenz, Andre Niklas; Jochim, Selim; Julienne, PS; Hutson, JM; ",Precise characterization of Li 6 Feshbach resonances using trap-sideband-resolved RF spectroscopy of weakly bound molecules,Physical review letters,110,13,135301,2013,APS
"Dubernet, Marie-Lise; Tuckey, Philip A; Hutson, Jeremy M; ",Parity doubling in open-shell van der Waals complexes,Chemical physics letters,193,5,355-363,1992,Elsevier
"Adams, CS; Riis, E; Ferguson, AI; Rowley, WRC; ",Precision measurement of the 2 3 S→ 3 3 P transition in He 4,Physical Review A,45,5,R2667,1992,APS
"Wrathmall, Steven; Meyer, Edmund; Haxton, Daniel; Lewandowski, Heather; Greene, Chris; ",Ultracold collisions between Rb and excited NH,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",39,,OPB. 40,2008,
"Dörr, M; Joachain, CJ; Potvliege, RM; Vučić, S; ",Born-Floquet theory of electron-atom collisions in the presence of a laser field,"Zeitschrift für Physik D Atoms, Molecules and Clusters",29,,245-246,1994,Springer
"Hutson, Jeremy M; ",Feshbach resonances in the presence of inelastic scattering: threshold behavior and suppression of poles in scattering lengths,,,,,2006,
"Marchant, Anna L; Händel, Sylvi; Wiles, Timothy P; Hopkins, Stephen A; Adams, Charles S; Cornish, Simon L; ",Off-resonance laser frequency stabilization using the Faraday effect,Optics letters,36,1,64-66,2011,Optica Publishing Group
"Bettelli, S; Maxwell, D; Fernholz, T; Adams, CS; Lesanovsky, I; Ates, C; ",Exciton dynamics in emergent Rydberg lattices,Physical Review A,88,4,043436,2013,APS
"Wadenpfuhl, Karen; Adams, C Stuart; ",Emergence of synchronisation in a driven-dissipative hot Rydberg vapor,arXiv preprint arXiv:2306.05188,,,,2023,
"Chen, Shuying; Reed, Dominic J; MacKellar, Andrew R; Downes, Lucy A; Almuhawish, Nourah FA; Jamieson, Matthew J; Adams, Charles S; Weatherill, Kevin J; ",Terahertz electrometry via infrared spectroscopy of atomic vapor,Optica,9,5,485-491,2022,Optica Publishing Group
"Chai, S; Fekete, J; Gardiner, SA; Andersen, MF; ",Resonant transfer of large momenta from finite-duration kicks,2017 Conference on Lasers and Electro-Optics Pacific Rim (CLEO-PR),,,1-3,2017,IEEE
"Cornish, Simon; Gregory, Phillip; Blackmore, Jacob; Bromley, Sarah; ",Observation of photoinduced two-body loss of ultracold RbCs molecules,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",2020,,T06. 002,2020,
"Adams, CS; Ferguson, AI; ",Tunable narrow linewidth ultra-violet light generation by frequency doubling of a ring Ti: sapphire laser using lithium tri-borate in an external enhancement cavity,Optics communications,90,1-3,89-94,1992,Elsevier
"Flower, DR; Mayer, P; ",Book-Review-Planetary Nebulae-IAU SYMP. 103,Bulletin of the Astronomical Institutes of Czechoslovakia,35,,,1984,
"Jackson, B; McCann, JF; Adams, CS; ",Flow of a weakly-interacting Bose condensate,"Technical Digest. Summaries of Papers Presented at the International Quantum Electronics Conference. Conference Edition. 1998 Technical Digest Series, Vol. 7 (IEEE Cat. No. 98CH36236)",,,48-49,1998,IEEE
"Adams, CS; Riis, E; Ferguson, AI; Rowley, W RC; ",Precision measurement of the 2 sup 3 S r arrow 3 sup 3 P transition in sup 4 He,Physical Review A. General Physics;(United States),45,5,,1992,
"Harris, ML; Tierney, P; Cornish, SL; ",Towards a quantum degenerate^ 1^ 3^ 3Cs-^ 8^ 7Rb mixture,EUROPHYSICS CONFERENCE ABSTRACTS ECA,30,D,160,2006,EUROPEAN PHYSICAL SOCIETY
"Blackmore, Jacob A; Caldwell, Luke; Gregory, Philip D; Bridge, Elizabeth M; Sawant, Rahul; Aldegunde, Jesús; Mur-Petit, Jordi; Jaksch, Dieter; Hutson, Jeremy M; Sauer, BE; ",Ultracold molecules for quantum simulation: rotational coherences in CaF and RbCs,Quantum Science and Technology,4,1,014010,2018,IOP Publishing
"Flower, DR; Pineau des Forets, G; ",Multicomponent reacting MHD flows–a reply,Monthly Notices of the Royal Astronomical Society,220,1,149-153,1986,"Oxford University Press Oxford, UK"
"Parker, NG; Martin, AM; Adams, CS; Cornish, SL; ",Bright solitary waves of trapped atomic Bose–Einstein condensates,Physica D: Nonlinear Phenomena,238,15,1456-1461,2009,Elsevier
"Flower, DR; ",On the interpretation of the relative intensities of the solar XUV lines of lithium-like ions,International Astronomical Union Colloquium,14,,738-739,1972,Cambridge University Press
"des Forêts, G Pineau; Flower, DR; Hartquist, TW; Dalgarno, A; ",Theoretical studies of interstellar molecular shocks-III. The formation of CH+ in diffuse clouds,Monthly Notices of the Royal Astronomical Society,220,4,801-824,1986,Oxford University Press (OUP)
"Claussen, NR; Cornell, EA; Cornish, SL; Donley, EA; Roberts, JL; ",Controlled Collapse of a Bose-Einstein Condensate,Physical Review Letters,86,19,,2003,
"Lloyd, GM; Kaminski, CF; Hughes, IG; Ewart, P; ",Multiplex Degenerate Four Wave Mixing Thermometry of the C2 Radical,Laser Applications to Chemical and Environmental Analysis,,,LThC. 2,1996,Optica Publishing Group
"Roberts, JL; Claussen, NR; Cornish, SL; Wieman, CE; ",Magnetic Field Dependence of Inelastic Collisions Near a Feshbach Resonance,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",14,,B2. 03,2000,
"Pfau, Tilman; Kurtsiefer, Ch; Adams, Charles S; Sigel, Martin; Mlynek, Jürgen; ",Magneto-optical beam splitter for atoms,Physical review letters,71,21,3427,1993,APS
"Heiner, CE; Carty, D; Meijer, G; Bethlem, HL; Crompvoets, FMH; ",An electrostatic storage ring for neutral molecules,Verhandlungen der Deutschen Physikalischen Gesellschaft,40,3,69,2005,
"Maucher, F; Skupin, Stefan; Gardiner, SA; Hughes, IG; ",Creating complex optical longitudinal polarization structures,Physical Review Letters,120,16,163903,2018,APS
"Potvliege, RM; ",STURMIAN-FLOQUET CALCULATIONS IN HYDROGEN,Super-Intense Laser-Atom Physics IV,13,,133,1996,Springer Science & Business Media
"Jurgilas, S; Chakraborty, A; Rich, CJH; Sauer, BE; Frye, Matthew D; Hutson, Jeremy M; Tarbutt, MR; ",Collisions in a dual-species magneto-optical trap of molecules and atoms,New Journal of Physics,23,7,075004,2021,IOP Publishing
"Claussen, NR; Cornish, SL; Roberts, JL; Cornell, EA; Wieman, CE; Arimondo, E; DeNatale, P; Inguscio, M; ",Rb-85 BEC near a Feshbach resonance,,,,,2001,
"Dubernet, Marie‐Lise; Hutson, Jeremy M; ",Atom–molecule van der Waals complexes containing open‐shell atoms. I. General theory and bending levels,The Journal of chemical physics,101,3,1939-1958,1994,American Institute of Physics
"Jacobs, VL; Burke, PG; Potvliege, RM; ",Liouville-space R-matrix-Floquet description of atomic radiative processes involving autoionizing states in the presence of intense electromagnetic fields,"Journal of physics B: atomic, molecular and optical physics",47,2,025401,2014,IOP Publishing
"Wade, Christopher G; Šibalić, Nikola; de Melo, Natalia R; Kondo, Jorge M; Adams, Charles S; Weatherill, Kevin J; ",Real-time near-field terahertz imaging with atomic optical fluorescence,Nature Photonics,11,1,40-43,2017,Nature Publishing Group UK London
"Parker, NG; Adams, CS; ",Response of an atomic Bose–Einstein condensate to a rotating elliptical trap,"Journal of Physics B: Atomic, Molecular and Optical Physics",39,1,43,2005,IOP Publishing
"Green, Sheldon; Hutson, Jeremy; ",Spectral line shape parameters for HF in a bath of Ar are accurately predicted by a potential inferred from spectra of the van der Waals dimer,The Journal of chemical physics,100,2,891-898,1994,American Institute of Physics
"Dewangan, DP; Flower, DR; ",Rotational excitation of OH by H2: calculations in intermediate coupling,Journal of Physics B: Atomic and Molecular Physics,16,12,2157,1983,IOP Publishing
"Cornish, SL; Parker, NG; Martin, AM; Judd, TE; Scott, RG; Fromhold, TM; Adams, CS; ",Quantum reflection of bright matter-wave solitons,Physica D: Nonlinear Phenomena,238,15,1299-1305,2009,Elsevier
"Bennett, Aaron; Gibble, Kurt; Kokkelmans, Servaas; Hutson, Jeremy M; ",Atomic clock measurements of quantum scattering phase shifts spanning Feshbach resonances at ultralow fields,Physical review letters,119,11,113401,2017,APS
"Bason, Mark George; Tanasittikosol, M; Sargsyan, A; Mohapatra, AK; Sarkisyan, D; Potvliege, RM; Adams, CS; ",Enhanced electric field sensitivity of rf-dressed Rydberg dark states,New Journal of Physics,12,6,065015,2010,IOP Publishing
"McDowell, MRC; Edmunds, PW; Potvliege, RM; Joachain, CJ; Shingal, R; Bransden, BH; ",The angular distribution of asymmetry in scattering of spin-polarised electrons by spin-polarised hydrogen atoms. II,Journal of Physics B: Atomic and Molecular Physics,17,19,3951,1984,IOP Publishing
"Wieman, Carl E; Donley, Elizabeth A; Claussen, Neil R; Thompson, Sarah T; Cornish, Simon L; Roberts, Jacob L; ",Quantum Implosions and Explosions in a 85 RB Bec,Laser Spectroscopy,,,3-11,2002,World Scientific
"Babin, SA; Belousov Yu, I; Kablukov, SI; Shapiro, DA; Hinze, U; Klug, M; Badger, SD; Hughes, IG; Adams, CS; ",Azuma Y: see Achler M 965,J. Phys. B: At. Mol. Opt. Phys,34,,5145-5172,2001,
"Owens, Daniel J; Hutson, Jeremy M; ",Inelastic losses in radio-frequency-dressed traps for ultracold atoms,Physical Review A,96,4,042707,2017,APS
"Adam, Wolfgang; Bergauer, T; Dragicevic, M; Friedl, M; Fruehwirth, R; Hoch, M; Hrubec, J; Krammer, M; Treberspurg, W; Waltenberger, W; ",Trapping in proton irradiated p+-n-n+ silicon sensors at fluences anticipated at the HL-LHC outer tracker,Journal of Instrumentation,11,04,P04023,2016,IOP Publishing
"Hull, Benjamin; Long, Alexander; Hughes, Ifan G; ",Using residual heat maps to visualise Benford’s multi-digit law,European Journal of Physics,43,1,015803,2021,IOP Publishing
"Takekoshi, Tetsu; Reichsöllner, Lukas; Schindewolf, Andreas; Hutson, Jeremy M; Le Sueur, C Ruth; Dulieu, Olivier; Ferlaino, Francesca; Grimm, Rudolf; Nägerl, Hanns-Christoph; ",Ultracold dense samples of dipolar RbCs molecules in the rovibrational and hyperfine ground state,Physical review letters,113,20,205301,2014,APS
"Haxton, Daniel J; Wrathmall, Steven A; Lewandowski, HJ; Greene, Chris H; ",Theoretical study of the quenching of NH (∆) molecules via collisions with Rb atoms: preliminary results,arXiv preprint arXiv:0903.3909,,,,2009,
"Billam, TP; Gardiner, SA; ",Coherence and instability in a driven Bose–Einstein condensate: a fully dynamical number-conserving approach,New Journal of Physics,14,1,013038,2012,IOP Publishing
"Flower, DR; Launay, Jean-Michel; ",On the validity of the distorted wave method in electron-atom collision theory,Journal of Physics B: Atomic and Molecular Physics,5,10,L207,1972,IOP Publishing
"Thibault, F; Boissoles, J; Boulet, C; Ozanne, L; Bouanich, JP; Roche, CF; Hutson, JM; ",Energy corrected sudden calculations of linewidths and line shapes based on coupled states cross sections: The test case of CO 2–argon,The Journal of chemical physics,109,15,6338-6345,1998,American Institute of Physics
"Flower, David R; Pineau des Forêts, G; ",H2 emission from shocks in molecular outflows: the significance of departures from a stationary state,Monthly Notices of the Royal Astronomical Society,308,1,271-280,1999,The Royal Astronomical Society
"Pottage, JT; Flower, DR; Davis, Stephen L; ",The rotational excitation of methanol by para-hydrogen,Monthly Notices of the Royal Astronomical Society,352,1,39-43,2004,"Blackwell Science Ltd Oxford, UK"
"Hutson, Jeremy M; ",Calculating nuclear quadrupole coupling constants for van der Waals complexes,Molecular Physics,84,1,185-199,1995,Taylor & Francis
"Vaillant, CL; Jones, MPA; Potvliege, RM; ","Long-range Rydberg–Rydberg interactions in calcium, strontium and ytterbium","Journal of Physics B: Atomic, Molecular and Optical Physics",45,13,135004,2012,IOP Publishing
"Flower, DR; Launay, JM; ",Rate coefficients for the rotational excitation of CO by ortho-and para-H/sub 2,Mon. Not. R. Astron. Soc.;(United Kingdom),214,2,,1985,
"Frye, Matthew D; Hutson, Jeremy M; ",Characterizing quasibound states and scattering resonances,Physical Review Research,2,1,013291,2020,APS
"Liu, I-K; Pattinson, RW; Billam, TP; Gardiner, SA; Cornish, SL; Huang, T-M; Lin, W-W; Gou, S-C; Parker, NG; Proukakis, NP; ",Stochastic growth dynamics and composite defects in quenched immiscible binary condensates,Physical Review A,93,2,023628,2016,APS
"Demirag, I; Jones, M; Kirkham, L; Dillard, J; Mathews, R; Bebbington, J; Parker, LD; Adams, C; Arrington, E; Baker, R; ",now been,,,,,,
"Flower, David R; Pineau des Forêts, G; ",C-type shocks in the interstellar medium: profiles of CH+ and CH absorption lines,Monthly Notices of the Royal Astronomical Society,297,4,1182-1188,1998,"Blackwell Science Ltd Oxford, UK"
"Jones, Matthew PA; Darquié, Benoît; Beugnon, Jérôme; Dingjan, Jos; Bergamini, Silvia; Sortais, Y; Messin, Gaëtan; Browaeys, Antoine; Grangier, Philippe; ",Controlled photon emission and Raman transition experiments with a single trapped atom,Laser Spectroscopy,,,413-420,2005,World Scientific
"HUTSON, JM; ",INTERMOLECULAR POTENTIALS FROM THE FAR-INFRARED SPECTRA OF VANDERWAALS MOLECULES,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,196,,34-PHYS,1988,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036"
"Lara, Manuel; Bohn, John L; Potter, Daniel E; Soldan, Pavel; Hutson, Jeremy M; ",PART A-Atomic and molecular collisions and interactions-Cold collisions between OH and Rb: The field-free case,Physical Review-Section A-Atomic Molecular and Optical Physics,75,1,12704-12704,2007,"New York, NY: Published by the American Physical Society through the …"
"Wang, Xin-Yao; Frye, Matthew D; Su, Zhen; Cao, Jin; Liu, Lan; Zhang, De-Chao; Yang, Huan; Hutson, Jeremy M; Zhao, Bo; Bai, Chun-Li; ",Magnetic Feshbach resonances in collisions of (NaK)-Na-23-K-40 with K-40,NEW JOURNAL OF PHYSICS,23,11,,2021,"IOP Publishing Ltd TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND"
"Akyilmaz, Meltem; Flower, DR; Hily-Blant, Pierre; Des Forêts, G Pineau; Walmsley, C Malcolm; ",The depletion of NO in pre-protostellar cores,Astronomy & Astrophysics,462,1,221-230,2007,EDP Sciences
"Slim, HA; Heck, EL; Bransden, BH; Flower, DR; ",Ionization and charge transfer in proton-helium collisions,"Journal of Physics B: Atomic, Molecular and Optical Physics",24,17,L421,1991,IOP Publishing
"Händel, S; Wiles, TP; Marchant, AL; Hopkins, SA; Adams, CS; Cornish, SL; ",Magnetic merging of ultracold atomic gases of Rb 85 and Rb 87,Physical Review A,83,5,053633,2011,APS
"Sirunyan, Albert M; Erbacher, Robin; Carrillo Montoya, Camilo Andres; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Ujvari, Balazs; Lander, Richard; Smith, Nicholas; Choi, Young-Il; ","APS: Bose-Einstein correlations in $ pp, p\mathrm {Pb} $, and PbPb collisions at $\sqrt {{s} _ {NN}}= 0.9-7$ TeV",Phys. Rev. C,97,arXiv: 1712.07198,064912,2017,
"Dörr, M; Potvliege, RM; ",Adiabatic stabilization in photodetachment by ultrashort pulses,"Journal of Physics B: Atomic, Molecular and Optical Physics",33,6,L233,2000,IOP Publishing
"Heiner, Cynthia E; Carty, David; Meijer, Gerard; Bethlem, Hendrick L; ",A molecular synchrotron,Nature Physics,3,2,115-118,2007,Nature Publishing Group UK London
"Dewangan, DP; Flower, DR; ",Rotational excitation of OH by H2 at thermal energies,Journal of Physics B: Atomic and Molecular Physics,14,13,2179,1981,IOP Publishing
"Frye, Matthew D; Hutson, Jeremy M; ",Collision cross sections for the thermalization of cold gases,Physical Review A,89,5,052705,2014,APS
"Jones, Matthew PA; Beugnon, Jerome; Gaëtan, Alpha; Zhang, Junxiang; Messin, Gaetan; Browaeys, Antoine; Grangier, Philippe; ",Fast quantum state control of a single trapped neutral atom,Physical Review A,75,4,040301,2007,APS
"Adams, Charles; ",Non-linear optics using Rydberg atoms,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",43,,C7. 001,2012,
"Browaeys, Antoine; Yin, Yi; Chen, Yu; Sank, Daniel; O’Malley, PJJ; White, TC; Barends, R; Kelly, J; Lucero, Erik; Mariantoni, Matteo; ",الموضوع: Catch and Release of Photon,Phys. Rev. Lett,110,,107001,2013,
"Hutson, Jeremy M; ",The intermolecular potential of Ar–HCl: Determination from high‐resolution spectroscopy,The Journal of chemical physics,89,8,4550-4557,1988,American Institute of Physics
"Fowler, PW; Hutson, Jeremy M; ",A semiempirical model for atom-surface dispersion coefficients,Surface science,165,2-3,289-302,1986,Elsevier
"Adams, Charles S; Sigel, Martin; Mlynek, Jürgen; ",Atom optics,Physics Reports,240,3,143-210,1994,Elsevier
"Pottage, JT; Flower, DR; Davis, Stephen L; ",The rotational excitation of methanol by helium at low temperatures,"Journal of Physics B: Atomic, Molecular and Optical Physics",34,16,3313,2001,IOP Publishing
"Bird, Robert C; Tarbutt, Michael R; Hutson, Jeremy M; ",Tunable Feshbach resonances in collisions of ultracold molecules in 2 Σ states with alkali-metal atoms,Physical Review Research,5,2,023184,2023,APS
"Law, Mark M; Hutson, Jeremy M; ",I-NoLLS: A program for interactive nonlinear least-squares fitting of the parameters of physical models,Computer physics communications,102,1-3,252-268,1997,Elsevier
"Flower, DR; Seaton, MJ; ",Forbidden line radiation from gaseous nebulae.,Mémoires de la Société royale des sciences de Liège.,17,,,1969,
"Downes, LA; Al-Muhawish, N; Chen, S; Jamieson, M; Adams, CS; Weatherill, KJ; ",Full field terahertz imaging of high-speed dynamics,"2022 47th International Conference on Infrared, Millimeter and Terahertz Waves (IRMMW-THz)",,,1-1,2022,IEEE
"Barenghi, CF; Parker, NG; Proukakis, NP; Adams, CS; ",Decay of quantised vorticity by sound emission,arXiv preprint cond-mat/0405635,,,,2004,
"Hayward, TJ; West, AD; Weatherill, KJ; Curran, Peter J; Fry, PW; Fundi, PM; Gibbs, MRJ; Schrefl, T; Adams, CS; Hughes, IG; ",Design and characterization of a field-switchable nanomagnetic atom mirror,Journal of Applied Physics,108,4,,2010,AIP Publishing
"Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",Off-resonance absorption and dispersion in vapours of hot alkali-metal atoms,"Journal of Physics B: Atomic, Molecular and Optical Physics",42,17,175004,2009,IOP Publishing
"Möhl, Charles; Spong, Nicholas LR; Jiao, Yuechun; So, Chloe; Ilieva, Teodora; Weidemüller, Matthias; Adams, Charles S; ",Photon correlation transients in a weakly blockaded Rydberg ensemble,"Journal of Physics B: Atomic, Molecular and Optical Physics",53,8,084005,2020,IOP Publishing
"Herrero, B; Cooper, IL; Dickinson, AS; Flower, DR; ",Low-energy electron capture from H and D by C3+ ions,"Journal of Physics B: Atomic, Molecular and Optical Physics",28,21,4607,1995,IOP Publishing
"Frye, Matthew; Hutson, Jeremy; ",Understanding Magnetic Feshbach Resonances in Collisions of Ultracold NaK with K,APS March Meeting Abstracts,2021,,P26. 007,2021,
"Weatherill, Kevin J; ",A C0 (_2) laser lattice experiment for cold atoms,,,,,2007,Durham University
"Flower, DR; Kirkpatrick, DJ; ",Rovibrational excitation of molecular hydrogen in collisions with helium atoms,Journal of Physics B: Atomic and Molecular Physics,15,11,1701,1982,IOP Publishing
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; Flechl, Martin; ",Mechanical stability of the CMS strip tracker measured with a laser alignment system,Journal of Instrumentation,12,,,2017,
"Cirac, JI; Pellizari, T; Gardiner, SA; Zoller, P; Mabuchi, H; ",Synthesis of entangled atomic states and quantum computing,International Quantum Electronics Conference,,,FK3,1996,Optica Publishing Group
"Cooper, Adam R; Jain, S; Hutson, Jeremy M; ",Methods for calculating the bound state energies of van der Waals trimers: Applications to Ar3,The Journal of chemical physics,98,3,2160-2169,1993,American Institute of Physics
"Flower, DR; ",The cooling of astrophysical media by H2,,,,,,
"So, Chloe; Spong, Nicholas LR; Möhl, Charles; Jiao, Yuechun; Ilieva, Teodora; Adams, Charles S; ",Zeeman-tunable modulation transfer spectroscopy,Optics Letters,44,21,5374-5377,2019,Optica Publishing Group
"González-Martínez, Maykel L; Hutson, Jeremy M; ",Sympathetic cooling of fluorine atoms with ultracold atomic hydrogen,Physical review A,88,5,053420,2013,APS
"Flower, DR; Pineau des Forêts, G; ",Shock wave heating of the outer solar atmosphere,Astronomy and Astrophysics,52,,191-198,1976,
"LOVELL, B; SMITH, FG; MCNALLY, D; HELLIWEL. TM; WEYMANN, RJ; FIELD, GB; BALDWIN, JE; HOLDEN, DJ; MCCREA, WH; POOLEY, GG; ","MEETING OF ROYAL ASTRONOMICAL SOCIETY FRIDAY, 1969 MAY 9",OBSERVATORY,89,972,157-&,1969,"RUTHERFORD APPLETON LAB, CHILTON DIDCOT, OXFORD OX11 OQX, ENGLAND"
"Mese, E; Potvliege, RM; ",The quasienergy spectrum of argon from 400 to 800 nm,Laser Physics Letters,4,5,357-362,2007,Wiley Online Library
"Summy, G; Ma, Z; d'Arcy, M; Gardiner, S; Burnett, K; Guarneri, I; Rebuzzini, L; Fishman, S; Wimberger, S; Buchleitner, A; ",The effect of decoherence at the resonances of the quantum delta-kicked rotor,APS March Meeting Abstracts,2004,,J22. 007,2004,
"Adams, CS; Hughes, IG; ",D6. 1 Laser cooling and trapping,Handbook of Laser Technology and Applications (Three-Volume Set),,,2419-2437,2003,CRC Press
"McCoey, C; Giannini, T; Flower, DR; Caratti o Garatti, A; ",On the excitation of the infrared knots in the HH99 outflow,Monthly Notices of the Royal Astronomical Society,353,3,813-824,2004,Blackwell Science Ltd
"Pineau des Forêts, G; Flower, DR; Dalgarno, A; ",Theoretical studies of interstellar molecular shocks: Pt. 8,Monthly Notices of the Royal Astronomical Society,235,3,621-631,1988,
"Flower, DR; Penn, CJ; Seaton, MJ; ",Ultraviolet spectra of planetary nebulae. 9. High-dispersion observations of NGC 7662,Mon. Not. R. Astron. Soc.;(United Kingdom),201,2,,1982,
"Meuwly, Markus; Hutson, Jeremy M; ",The potential energy surface and near-dissociation states of He-H 2+,The Journal of chemical physics,110,7,3418-3427,1999,American Institute of Physics
"Leurini, S; Gusdorf, A; Wyrowski, F; Codella, C; Csengeri, T; van Der Tak, F; Beuther, H; Flower, DR; Comito, C; Schilke, P; ",Water emission from the high-mass star-forming region IRAS 17233-3606-High water abundances at high velocities,Astronomy & Astrophysics,564,,L11,2014,EDP Sciences
"Peet, Andrew C; Clary, David C; Hutson, Jeremy M; ",Coupled channel calculations on the vibrational predissociation of the ethylene dimer,Chemical physics letters,125,5-6,477-480,1986,Elsevier
"d’Arcy, MB; Godun, RM; Oberthaler, MK; Summy, GS; Burnett, K; Gardiner, SA; ",Approaching classicality in quantum accelerator modes through decoherence,Physical Review E,64,5,056233,2001,APS
"Flower, DR; ",Rotational excitation of OH by H2 at interstellar temperatures,"Astronomy and Astrophysics, vol. 83, no. 1-2, Mar. 1980, p. 33-37.",83,,33-37,1980,
"McCarron, DJ; Cho, HW; Köppinger, MP; Jenkin, DL; Butler, KL; Blackley, CL; Le-Sueur, CR; Hutson, JM; Cornish, SL; ",Feshbach spectroscopy of an ultracold 85 Rb-133 Cs mixture,a a,12,22,11,,
"Vucic, S; Potvliege, RM; Joachain, CJ; ","CORRIGENDUM: Third-order optical model analysis of e+/-H (2s), e+/-He (2¹S) and e+/-He (2³S) elastic scattering at intermediate energies",""" Journal of Physics B: Atomic, Molecular and Optical Physics""",21,,,1988,IOP Publishing
"Habing, HJ; Falgarone, E; Flower, D; Martin, PG; Rosa, MR; Lozinskaya, T; Dopita, M; ",34 Interstellar Matter: Matiere Interstellaire,Transactions of the International Astronomical Union,22,1,367-397,1994,Cambridge University Press
"Haxton, Daniel J; Wrathmall, Steven A; Lewandowski, HJ; Greene, Chris H; ",Theoretical study of the quenching of NH (Δ 1) molecules via collisions with Rb atoms,Physical Review A,80,2,022708,2009,APS
"Baker, DJ; Flower, DR; ",Long-range forces in heavy particle scattering,Journal of Physics B: Atomic and Molecular Physics,16,17,L515,1983,IOP Publishing
"Schilke, Peter; Walmsley, CM; Pineau des Forets, G; Flower, DR; ",SiO production in interstellar shocks.,"Astronomy and Astrophysics, v. 321, p. 293-304",321,,293-304,1997,
"PRISSETTE, J; KOCHANSKI, E; FLOWER, DR; LAUNAY, JM; ",AN AB INITIO POTENTIAL ENERGY $ URFACE FOR THE STUDY OF THERMAL ENERGY CO-H,,,,,,
"Flower, DR; ",Ultraviolet spectra of planetary nebulae. 8. The C/O abundance ratio in the Ring nebula,Mon. Not. R. Astron. Soc.;(United Kingdom),199,1,,1982,
"Mukherjee, Bijit; Frye, Matthew D; Hutson, Jeremy M; ",Magnetic Feshbach resonances between atoms in S 2 and P 0 3 states: Mechanisms and dependence on atomic properties,Physical Review Research,5,1,013102,2023,APS
"Parazzoli, L Paul; Fitch, Noah J; Żuchowski, Piotr S; Hutson, Jeremy M; Lewandowski, Heather J; ",Large effects of electric fields on atom-molecule collisions at millikelvin temperatures,Physical review letters,106,19,193201,2011,APS
"Potvliege, RM; ",The structure of the Glauber third-order optical potential,"Journal of Physics B: Atomic, Molecular and Optical Physics",22,6,907,1989,IOP Publishing
"Pohl, T; Adams, CS; Sadephpour, HR; ",Cold Rydberg gases and ultra-cold plasmas,"Journal of Physics B: Atomic, Molecular and Optical Physics",44,18,180201,2011,IOP Publishing
"Amico, Luigi; Boshier, Malcolm; Birkl, Gerhard; Minguzzi, Anna; Miniatura, Christian; Kwek, L-C; Aghamalyan, Davit; Ahufinger, Veronica; Anderson, Dana; Andrei, Natan; ",Roadmap on Atomtronics: State of the art and perspective,AVS Quantum Science,3,3,,2021,AIP publishing
"Sargsyan, Armen; Klinger, Emmanuel; Leroy, Claude; Hughes, Ifan G; Sarkisyan, David; Adams, Charles S; ",Selective reflection from a potassium atomic layer with a thickness as small as λ/13,"Journal of Physics B: Atomic, Molecular and Optical Physics",52,19,195001,2019,IOP Publishing
"Mur-Petit, J; Sawant, R; Blackmore, JA; Gregory, PD; Hutson, JM; Jaksch, D; Aldegunde, J; Tarbutt, MR; Cornish, Simon L; ",Ultracold polar molecules as qudits,New Journal of Physics,22,1,,2020,IOP Publishing
"Whiting, DJ; Mathew, RS; Keaveney, J; Adams, CS; Hughes, IG; ",Four-wave mixing in the hyperfine Paschen-Back regime,arXiv preprint arXiv:1705.01855,,,,2017,
"Hughes, Ifan G; Darlington, Timothy; Hinds, EA; ",Periodic trajectories of cold atoms in a gravitational cavity,"Journal of Physics B: Atomic, Molecular and Optical Physics",34,14,2869,2001,IOP Publishing
"Weller, L; Bettles, RJ; Vaillant, CL; Zentile, MA; Potvliege, RM; Adams, CS; Hughes, IG; ",Cooperative enhancement of energy transfer in a high-density thermal vapor,arXiv preprint arXiv:1308.0129,,,,2013,
"Frye, Matthew D; Morita, Masato; Vaillant, Christophe L; Green, Dermot G; Hutson, Jeremy M; ",Approach to chaos in ultracold atomic and molecular physics: Statistics of near-threshold bound states for Li+ CaH and Li+ CaF,Physical Review A,93,5,052713,2016,APS
"Adams, Charles S; Cassidy, Daniel T; ","Effects of stress on threshold, wavelength, and polarization of the output of InGaAsP semiconductor diode lasers",Journal of applied physics,64,12,6631-6638,1988,American Institute of Physics
"Fan, Isaac; Chang, Chun-Yu; Wang, Li-Bang; Cornish, Simon L; Shy, Jow-Tsong; Liu, Yi-Wei; ",New Determination of Muonium-Deuterium 1S-2S Isotope Shift,arXiv preprint arXiv:1310.1660,,,,2013,
"Adams, CS; Cox, SG; Riis, E; Arnold, AS; ",Laser cooling of calcium in a ‘golden ratio’quasi-electrostatic lattice,"Journal of Physics B: Atomic, Molecular and Optical Physics",36,10,1933,2003,IOP Publishing
