Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Siddons, Paul; Adams, Charles S; Ge, Chang; Hughes, Ifan G; ",Absolute absorption on rubidium D lines: comparison between theory and experiment,"Journal of Physics B: Atomic, Molecular and Optical Physics",41,15,155004,2008,IOP Publishing
"Kay, Alastair; Pachos, Jiannis K; Adams, Charles S; ",Graph-state preparation and quantum computation with global addressing of optical lattices,Physical Review A,73,2,022310,2006,APS
"Byron Jr, FW; Joachain, CJ; Potvliege, RM; ",Unitarisation of the eikonal-Born series method for electron-atom and positron-atom collisions,Journal of Physics B: Atomic and Molecular Physics,15,21,3915,1982,IOP Publishing
"Soldan, Pavel; Cvitas, Marko T; Hutson, Jeremy M; Adams, Charles S; ",Interactions of cold atoms and molecules,,,,,,
"Wallis, Alisdair OG; Hutson, Jeremy M; ",Optically induced conical intersections in traps for ultracold atoms and molecules,Physical Review A,84,5,051402,2011,APS
"Elrod, MJ; Steyert, DW; Loeser, JG; Saykally, RJ; Cooper, AR; Hutson, Jeremy M; ",Experimental Determination of Three-body Forces: Far Infrared Vibration-Rotation-Tunneling Spectroscopy (FIR-VRTS) of $ Ar_ {2} HCl$,,,,,1993,Ohio State University
"West, Adam D; Hayward, Thomas J; Weatherill, Kevin J; Schrefl, Thomas; Allwood, Dan A; Hughes, Ifan G; ",A simple model for calculating magnetic nanowire domain wall fringing fields,Journal of Physics D: Applied Physics,45,9,095002,2012,IOP Publishing
"Winiecki, T; Adams, CS; ","Vortex dynamics, pinning, and critical currents in a Ginzburg-Landau type-II superconductor",arXiv preprint cond-mat/0105586,,,,2001,
"Wheatley, Richard J; Hutson, Jeremy M; ",A systematic model potential for Li+-H2O,Molecular Physics,84,5,879-898,1995,Taylor & Francis
"Flower, DR; Launay, JM; ",Excitation of the CII 2p 2 Psub (1/2)-2 Psub (3/2) transition in thermal energy collisions with H 2,International conference on the physics of electronic and atomic collisions. 10th. Volume 1,,,,1977,
"Flower, David; ",In Memoriam: Sheldon Green,Symposium-International Astronomical Union,178,,239-240,1997,Cambridge University Press
"Bridge, Elizabeth M; Keegan, Niamh C; Bounds, Alistair D; Boddy, Danielle; Sadler, Daniel P; Jones, Matthew PA; ",Tunable cw UV laser with< 35 kHz absolute frequency instability for precision spectroscopy of Sr Rydberg states,Optics Express,24,3,2281-2292,2016,Optica Publishing Group
"Chirilă, CC; Potvliege, RM; ",Low-order above-threshold ionization in intense few-cycle laser pulses,Physical Review A,71,2,021402,2005,APS
"Falgarone, Edith; Verstraete, L; Pineau des Forêts, G; Flower, D; Puget, J-L; ",Hot Chemistry In The Diffuse Medium: Spectral Signatures In The H_2 Rotational Lines,H2 in Space,,,E. 37,1999,
